Method,Year,Date ,Enter by,Electronic Enter by ,Time to Start,Observe Intervals ,Block,H-ID,HP,Source,Source ID,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Note
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,74,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,75,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,Qv,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,76,Qv-T,Rice,,F,NA,C,C,C,C,C,C,Qv,C,C,C,Qv,Qv,Qv,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,77,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,Qv,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,78,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,79,Qv-F,KRE,63,M,NA,Qg,C,C,C,C,C,C,C,Qg,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,80,Qv-F,KRE,63,M,NA,C,Qg,Qv,Qv,Qv,C,C,C,C,Qg,Qg,Qg,Qg,Qg,Qg,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,81,Qv-F,KRE,63,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,82,Qv-T,Rice,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,83,Qv-F,KRE,58,M,NA,Qv,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,84,Qv-F,KRE,63,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,85,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,86,Qv-F,KRE,58,F,NA,C,C,Qv,C,C,C,C,C,C,C,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,87,Qv-T,Rice,P4G47,M,NA,Qv,Qv,Qv,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,88,Qv-T,Rice,P4G22,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.11.16,LZ/GAD,SL,4:20,2 min,5,89,Qv-F,KRE,57,M,NA,C,C,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,Qv,C,Qg,C,
